Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1372,1242,718,49106.203125,0.014621
2,1000,0.1,0.2,50.0,1000,1397,1242,728,50004.914062,0.014559
3,1000,0.1,0.2,50.0,1000,1442,1290,710,51058.718750,0.013906
4,1000,0.1,0.2,50.0,1000,1366,1216,716,49834.714844,0.014367
5,1000,0.1,0.2,50.0,1000,1352,1217,748,50678.769531,0.014760
6,1000,0.1,0.2,50.0,1000,1381,1264,706,50468.429688,0.013989
7,1000,0.1,0.2,50.0,1000,1424,1259,723,50299.765625,0.014374
8,1000,0.1,0.2,50.0,1000,1391,1273,727,50609.066406,0.014365
9,1000,0.1,0.2,50.0,1000,1387,1245,701,49727.609375,0.014097
10,1000,0.1,0.2,50.0,1000,1385,1266,716,49776.691406,0.014384
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,2148,1945,999,48701.449219,0.020513
2,1000,0.1,0.2,50.0,1000,1957,1758,999,48901.277344,0.020429
3,1000,0.1,0.2,50.0,1000,2103,1886,998,47654.042969,0.020943
4,1000,0.1,0.2,50.0,1000,1992,1797,998,49593.371094,0.020124
5,1000,0.1,0.2,50.0,1000,1963,1775,997,50965.589844,0.019562
6,1000,0.1,0.2,50.0,1000,1937,1766,995,50944.171875,0.019531
7,1000,0.1,0.2,50.0,1000,2246,2032,989,50479.859375,0.019592
8,1000,0.1,0.2,50.0,1000,2049,1845,995,50687.734375,0.019630
9,1000,0.1,0.2,50.0,1000,2246,2010,999,50579.722656,0.019751
10,1000,0.1,0.2,50.0,1000,2151,1952,985,48633.078125,0.020254
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,2148,1945,999,48701.449219,0.020513
2,1000,0.1,0.2,50.0,1000,1957,1758,999,48901.277344,0.020429
3,1000,0.1,0.2,50.0,1000,2107,1890,999,48145.902344,0.020749
4,1000,0.1,0.2,50.0,1000,1992,1797,998,49593.371094,0.020124
5,1000,0.1,0.2,50.0,1000,2036,1826,993,50724.679688,0.019576
6,1000,0.1,0.2,50.0,1000,6834,6170,639,51406.300781,0.012430
7,1000,0.1,0.2,50.0,1000,2320,2094,999,50290.589844,0.019865
8,1000,0.1,0.2,50.0,1000,2096,1886,999,50991.089844,0.019592
9,1000,0.1,0.2,50.0,1000,2246,2010,999,50579.722656,0.019751
10,1000,0.1,0.2,50.0,1000,5343,4766,758,49031.500000,0.015459
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,2148,1945,999,48701.449219,0.020513
2,1000,0.1,0.2,50.0,1000,1957,1758,999,48901.277344,0.020429
3,1000,0.1,0.2,50.0,1000,2107,1890,999,48145.902344,0.020749
4,1000,0.1,0.2,50.0,1000,1992,1797,998,49593.371094,0.020124
5,1000,0.1,0.2,50.0,1000,2036,1826,993,50724.679688,0.019576
6,1000,0.1,0.2,50.0,1000,6966,6298,486,49863.246094,0.009747
7,1000,0.1,0.2,50.0,1000,2320,2094,999,50290.589844,0.019865
8,1000,0.1,0.2,50.0,1000,2096,1886,999,50991.089844,0.019592
9,1000,0.1,0.2,50.0,1000,2246,2010,999,50579.722656,0.019751
10,1000,0.1,0.2,50.0,1000,5729,5086,719,49837.554688,0.014427
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,2148,1945,999,48701.449219,0.020513
2,1000,0.1,0.2,50.0,1000,1957,1758,999,48901.277344,0.020429
3,1000,0.1,0.2,50.0,1000,2107,1890,999,48145.902344,0.020749
4,1000,0.1,0.2,50.0,1000,1992,1797,998,49593.371094,0.020124
5,1000,0.1,0.2,50.0,1000,2036,1826,993,50724.679688,0.019576
6,1000,0.1,0.2,50.0,1000,7482,6662,416,50889.777344,0.008175
7,1000,0.1,0.2,50.0,1000,2320,2094,999,50290.589844,0.019865
8,1000,0.1,0.2,50.0,1000,2096,1886,999,50991.089844,0.019592
9,1000,0.1,0.2,50.0,1000,2246,2010,999,50579.722656,0.019751
10,1000,0.1,0.2,50.0,1000,5729,5051,671,49370.300781,0.013591
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,2148,1945,999,48701.449219,0.020513
2,1000,0.1,0.2,50.0,1000,1957,1758,999,48901.277344,0.020429
3,1000,0.1,0.2,50.0,1000,2107,1890,999,48145.902344,0.020749
4,1000,0.1,0.2,50.0,1000,1992,1797,998,49593.371094,0.020124
5,1000,0.1,0.2,50.0,1000,2036,1826,993,50724.679688,0.019576
6,1000,0.1,0.2,50.0,1000,8446,6713,401,50734.980469,0.007904
7,1000,0.1,0.2,50.0,1000,2320,2094,999,50290.589844,0.019865
8,1000,0.1,0.2,50.0,1000,2096,1886,999,50991.089844,0.019592
9,1000,0.1,0.2,50.0,1000,2246,2010,999,50579.722656,0.019751
10,1000,0.1,0.2,50.0,1000,6170,5121,651,49662.984375,0.013108
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1866,1678,999,51165.996094,0.019525
